dump mydmp all atom 15000 dump.lammpstrj

#Equilibrate (all WCA)
velocity all create 236.51 1337 #Set the temperature to 236.51 K
fix 1 all nvt temp 236.51 236.51 100 #use a nose-hoover thermostat to keep the temperature at 236.51 K
timestep 0.1
thermo 1000
run 10000000
Generated 0 of 1 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update every 1 steps, delay 1 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 12.48
  ghost atom cutoff = 12.48
  binsize = 6.24, bins = 85 85 85
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/newton
      stencil: half/bin/3d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 5.76 | 5.785 | 7.227 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press     
    161000   254.20515      60.31751       987.87136      4684.57        1.1198144    
    162000   244.99744      60.710111      1021.9452      4587.3211      1.316099     
    163000   238.70311      56.376154      1083.0429      4554.045       0.90709731   
    164000   237.44824      56.16387       1169.9542      4622.7932      1.1760705    
    165000   234.94954      61.93002       1244.4899      4667.3513      1.0211715    
    166000   227.30038      74.692656      1325.6223      4651.8259      0.67158625   
    167000   224.70803      68.021779      1350.0638      4632.5132      0.69707791   
    168000   217.83669      77.370493      1368.747       4562.2512      0.62527955   
    169000   218.27456      78.136922      1364.1161      4564.6503      0.46049223   
    170000   226.82389      88.387389      1342.7297      4675.8118      0.14787526   
    171000   230.37646      92.863183      1308.8125      4697.1896      0.39607745   
    172000   236.68962      92.986728      1216.4468      4695.2567      0.75059375   
    173000   238.60362      91.867163      1159.9017      4664.9716     -0.16515022   
    174000   241.7929       86.758653      1078.9945      4624.5782      0.076095868  
    175000   245.94218      87.552878      1024.6888      4630.4218      0.37280197   
    176000   250.60945      84.073652      1050.6241      4719.6428      0.226125     
    177000   253.98736      88.240668      1020.8396      4742.3459      0.17767925   
    178000   245.20204      102.1614       1069.5518      4679.3057      0.15653053   
    179000   241.37378      102.09568      1113.4734      4668.3987      0.34179485   
    180000   239.2567       96.799005      1173.134       4692.4779      0.083913263  
    181000   232.78126      101.64818      1274.5611      4706.1236      0.21344261   
    182000   229.56368      90.679589      1332.3413      4706.9081      0.32148168   
    183000   222.53179      88.186609      1351.6554      4623.1387      0.50334024   
    184000   218.29001      96.35968       1380.9636      4599.9417      0.49682561   
    185000   224.32267      97.79318       1384.8523      4691.5606      0.37994554   
    186000   228.32764      102.94031      1357.6682      4726.8142      0.83810018   
    187000   230.44937      90.902323      1321.7931      4709.2524      0.60117271   
    188000   233.30516      81.206334      1232.2292      4650.8443      1.1890706    
    189000   233.84446      85.357271      1153.4069      4583.8874      0.83428996   
    190000   243.89162      82.117404      1102.6713      4673.6358      1.0407789    
    191000   249.20089      82.281315      1084.9353      4732.0123      1.2196961    
    192000   247.60917      86.355726      1062.1803      4690.5623      1.2787844    
    193000   245.37931      87.18543       1049.7069      4647.0207      1.1691051    
    194000   246.0291       87.78213       1063.1793      4670.385       1.0169003    
    195000   246.22509      91.810507      1146.539       4760.5766      1.3730086    
    196000   244.28025      84.965054      1181.8225      4761.194       1.0871133    
    197000   235.78414      76.48632       1247.8464      4697.203       0.87574654   
    198000   228.92721      74.60024       1327.2581      4676.6409      0.7619031    
    199000   227.94671      77.599757      1337.7371      4676.0934      0.64305672   
    200000   223.43248      65.180001      1395.4782      4656.8391      0.51246413   
    201000   226.75778      66.477829      1349.9595      4660.1864      0.47333392   
    202000   227.12914      64.97125       1354.183       4668.2155      0.54737035   
    203000   229.84794      65.071872      1337.3848      4690.4102     -0.064258924  
    204000   237.27266      60.417749      1243.6339      4698.2151     -0.057189786  
    205000   237.20776      60.632388      1177.7474      4631.6149      0.2644008    
    206000   239.51521      63.004332      1110.7561      4600.0034      0.23897332   
    207000   247.84382      61.183314      1078.0631      4684.6293     -0.28035535   
    208000   250.6279       57.475547      1091.1969      4733.8814     -0.01600207   
    209000   250.10084      63.774253      1044.6815      4686.1251      0.21346375   
    210000   243.06232      65.000373      1091.9822      4633.9665     -0.14452485   
    211000   243.18451      57.015267      1115.4283      4651.1754      0.30479498   
    212000   240.68921      56.836586      1181.2801      4681.1535     -0.25068718   
    213000   236.3849       53.787251      1264.0939      4699.3452      0.26824954   
    214000   232.45114      55.461295      1297.8266      4678.48       -0.043000564  
    215000   223.76036      54.791785      1359.545       4615.208       0.18407345   
    216000   225.0128       52.443899      1357.7372      4628.9684      0.22400364   
    217000   228.2289       56.534009      1372.974       4694.3013      0.49324561   
    218000   229.4979       50.513128      1389.057       4722.5163      0.33278105   
    219000   231.16965      43.576059      1303.2094      4653.6458      0.50476318   
    220000   231.11403      38.304397      1242.3762      4586.7455      0.38814724   
    221000   237.30415      42.203855      1191.5202      4628.3379      0.9120244    
    222000   241.9157       50.391695      1173.169       4684.1423      0.87783919   
    223000   247.75386      42.319546      1114.5069      4700.9225      0.85316452   
    224000   245.87892      41.524391      1080.8666      4639.6662      1.193508     
    225000   241.38922      50.379548      1065.2881      4568.7182      0.42395808   
    226000   243.98754      43.375449      1070.7947      4604.3893      0.96699012   
    227000   247.44256      38.736592      1131.5206      4709.9001      1.1366936    
    228000   241.52884      43.554694      1206.6126      4705.215       0.72827005   
    229000   233.45353      37.199329      1255.7164      4632.4468      0.73880082   
    230000   229.4474       29.653019      1291.3306      4603.2074      0.14403489   
    231000   229.69068      29.372223      1334.4633      4649.5394      0.59846886   
    232000   229.15928      32.280403      1401.5073      4711.89        0.22198958   
    233000   229.90055      32.006095      1380.0896      4700.8018      0.19561372   
    234000   223.62169      31.137024      1355.357       4585.3816      0.17267905   
    235000   227.42228      27.807319      1313.3606      4594.4227     -0.1235071    
    236000   233.4254       26.060575      1299.6246      4664.8139      0.083205317  
    237000   240.25825      35.519327      1220.5526      4692.9439     -0.37296906   
    238000   239.99808      35.723619      1180.5244      4649.3983      0.34563205   
    239000   239.1301       31.179974      1112.5052      4564.4191     -0.36045063   
    240000   240.08339      31.687215      1072.345       4538.4029     -0.063050653  
    241000   246.27044      31.664026      1082.3746      4636.9145      0.095128557  
    242000   247.13364      31.810554      1096.8887      4663.923       0.11019302   
    243000   243.85013      33.091057      1139.5952      4660.9398     -0.041877161  
    244000   239.17437      30.36923       1189.4277      4641.1642     -0.24747832   
    245000   235.76181      30.299354      1219.9681      4622.8183      0.13791977   
    246000   228.91894      27.985657      1304.4165      4607.0664      0.36942822   
    247000   230.33841      27.794851      1322.3814      4645.1458     -0.024621173  
    248000   230.4675       22.958028      1384.0159      4703.7902      0.29262886   
    249000   228.94032      22.131803      1389.0425      4686.1443      0.34437972   
    250000   225.07169      25.894888      1349.5102      4595.0348      0.18958834   
    251000   227.53317      25.534537      1321.0562      4601.4316      0.5680205    
    252000   233.57814      27.51934       1278.1916      4647.0246      0.74694134   
    253000   238.37293      24.396797      1245.1926      4679.492       0.55694293   
    254000   240.66946      19.252579      1193.5039      4655.5108      0.68073918   
    255000   238.90912      21.418919      1119.0999      4558.0916      0.78351689   
    256000   241.19908      18.885668      1106.1136      4575.3298      0.64976878   
    257000   244.10264      17.828469      1111.3028      4620.997       0.51403093   
    258000   248.0458       21.641313      1099.8314      4669.745       1.2791969    
    259000   243.91118      26.34406       1159.2002      4674.6711      0.37769141   
    260000   240.98666      25.251388      1168.3078      4640.8511      0.69066262   
    261000   233.69488      20.275858      1217.8667      4581.1262      0.27673245   
    262000   230.18306      13.736955      1296.5865      4603.0708      0.6392644    
    263000   233.52425      14.936917      1350.7086      4706.1882      0.03554864   
    264000   230.04376      14.434926      1385.2289      4690.4185     -0.05450878   
    265000   227.73595      16.292376      1361.29        4635.324       0.28089076   
    266000   227.03679      17.720925      1352.431       4617.8921     -0.064887567  
    267000   228.28381      18.890287      1354.6569      4639.126      -0.36260584   
    268000   240.20087      13.823219      1284.1189      4733.9933     -0.057122852  
    269000   242.29619      15.242783      1263.1505      4744.4178     -0.056868166  
    270000   238.6817       18.966378      1193.0056      4626.2916     -0.25665535   
    271000   241.3106       15.363854      1150.7085      4617.9981      0.0076454112 
    272000   244.98786      12.482733      1132.6104      4649.6218     -0.14157566   
    273000   246.83124      17.748659      1129.3283      4677.975      -0.23347724   
    274000   247.21648      16.934901      1112.8727      4666.2164     -0.21649538   
    275000   240.56057      12.794723      1133.6649      4587.6563      0.31296536   
    276000   236.12748      17.076417      1177.2041      4572.0622     -0.07921658   
    277000   236.68847      14.669202      1255.8218      4656.2975      0.25715162   
    278000   236.02268      14.126992      1287.7465      4678.1561     -0.13353156   
    279000   233.15859      9.9570093      1309.4126      4654.6817     -0.10372052   
    280000   226.72069      9.2472207      1356.0617      4608.5274      0.4656237    
    281000   226.8782       8.6314291      1344.0032      4598.1063      0.55787171   
    282000   228.53845      9.3550199      1382.4413      4661.0177      0.042951765  
